Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text
288313,B000ENUC3S,AN66F3Q4QNU43,Donna Speaker,0,0,5,1340496000,Cherry Pie Larabar,"I love the Cherry Pie Lara bar.  Best and tasty bar for when my sugar is low.  I recomend this Bar for diabetics low sugar only, as the carbs are about 30 for the bar."
431727,B002TMV3CG,A3G007LQX6KGOD,SevereWX,0,0,5,1287878400,Melitta Coffee,"Melitta Cafe COllection Blanc et Noir coffee has a very smooth, refined armoma you notice as soon as you open up the package. That same aroma translates well throughout the brewing process and remains once poured into your cup. Once you taste it, you will find that the flavor is bold yet smooth, it has a slightly dark, powerful flavor without any of the coarseness or bitterness. I went directly from one of those high-pressure coffee pod brewing systems to using the Melitta in a percolator, and it seems Melitta has helped me find my way back to a better cup of coffee."
110312,B004867T24,A11LNY2OLQSUSV,M. Castillo,0,0,5,1331769600,great treat,my girls absolutely loved this tuna. they were in heaven and couldn't get enough of this tasty treat. A bit pricey since I do have 4 cats and the pack went super fast giving each of them a treat
91856,B004U7KPY0,A1QCYVHWO5934U,"PistolaMia ""PistolaMia""",0,0,5,1332806400,Daily Calming,The vendor is fast and dependable. The tea is simply the best way to relax and great tasting too. Highly recommend !!
338856,B000FD78R0,A30U2QQN2FFHE9,J. Amicucci,2,3,5,1271376000,Best Canned Artichokes Out There!,"UPDATE - 8/9/2010<br />A lot can happen in just a couple months, the last two cases of these I have ordered from Amazon have been horrible.  I've had whole artichoke leaves in several cans (not the small soft leaves near the heart, I'm talking the big tough artichoke leaves). Brown spots over many of the artichokes.  Very poor quality.<br /><br />I contacted Amazon both times, the first time they replaced the case and the quality was much better.  The second time I asked them for a refund because two times in a couple months is not acceptable. I also contacted Reese direcly who doubted me and asked me to ""prove it"" by sending them two cans at my expense. I told them I'd gladly send them all the cans at their expense, but they would not do that. My impression of Reese has changed very much and I will no longer buy their products.<br /><br />ORIGINAL REVIEW - I've tried just about every brand out there and Reese, by far, is the best!  I love that you can buy them already quartered, great for tossing into salads.<br /><br />They are always good quality, not too firm, not too soft. Consistent taste, never a bad one in any can. Best price on Amazon too, about $1 cheaper per can then my local grocery store."
243609,B0059X9A6I,AUDQL0QLM3Y58,chuck harris,0,0,5,1337731200,WOW!,I have pretty much tried them all. The dark chocolate and fruit mix are perfect. This should be considered a drug.....;)
152344,B000LKZD4W,A1QGQ6BDB5PR2X,Carolyn McCray,1,1,5,1347667200,Love this product,"Just be forewarned it is a bit ""moist.""  Have plenty of papertowels/napkins around when eating it.<br /><br />However for vegan jerky, this has by far the best texture. You will be picking it out of your teeth for hours! And for me, that is a good thing!<br /><br />My fav is the BBQ flavor, however their other flavors are very tasty as well :-)"
336203,B000BRR8VQ,A1GE2Q2WR6G9G,tech geek,0,0,5,1333497600,These are amazing treats and a great value,Both of my mixed terrier dogs prefer this treat above all others. One of my dogs whines and scratches at the cabinet where these are stored wanting some!
488612,B004JQVAVO,A1OH8NY6IBSDJ7,J. P. Delese Jr.,1,2,1,1307059200,can't drink it,Made this coffee with a percolator maybe that is the wrong method but it cannot compare in taste to my regular coffee.  Will not buy it again.
103619,B0083L5F8K,A2KXPOM62YFOBT,C. Daughtridge,0,0,5,1340582400,everything I needed,"This was just the basic ingredients that i could have found at the local harris teeter, but this kit had everything i needed to get me started making sushi."
420253,B001EPPC80,A3G7ANA9HW69M5,Ali,0,0,4,1283212800,Good Snak to have handy!,"It is an actual biscuit! Not a cookie! They tried hard to ship it without smashing it, and they did a rather good job."
349114,B0002QEIF0,AQ492CE49WYC6,taft,2,2,1,1296259200,Not good for stuffing!,"I have made stuffed grape leaves quite a few times before.  I used to buy a Greek & California brand of brined grape leaves from the grocery store; but since the store doesn't carry them, I ordered ""Roland"" brand.  These are the thinnest, most delicate grape leaves I have ever worked with.  Only 50% of the grape leaves were usable.  The rest were scraps.  Of the 50% that were usable, they were very thin, torn in places and had to be patched together sometimes.  I stuffed them with rice, etc. and never overstuff.  I think that they processed the grape leaves in brine solution for too long.  As far as my prep on them, I rinsed them and put them on warm water and gently boiled for 1 minute.  I do this all the time and have never encountered such leaves.  I knew prior to gently boiling them that the leaves were fragile because they broke apart in my hand as I was taking them out.  Don't buy this brand to stuff.  Stick with another brand.  I can't remember which brand I used to buy, but I think it had a yellow label (California) and the Greek one might have been ""Krinos""."
443518,B000634FVG,AX3O3ANDPKDIF,"blackholesun1Girl ""blackholesun1""",1,1,5,1123459200,My dog is the one that I listen to...,"My dog Annie had surgery about 2 months ago and ever since its been hard to get her to eat anything.  I was worried for a while because every kind of dogfood i brought home she wouldn't eat.  I went to the local petssupermaket and bought a couple cans of this (ProPlan Senior Canned dogfood).  I put it in her dish and she gobbled it up happily!  It is a little on the exspensive side, but I think it's worth it for the sake of your dogs health.  Annie is 12 years old and a little heavy for her age, but thankfully she's been eating this dogfood and loves it!  It has all the nutrition she needs and a great taste she enjoys!"
498074,B000BYAECY,ACTI7K4OERSRT,Smiley,2,2,5,1326412800,Munchy Beef Sticks,"My dog is crazy for these sticks! He loves them! They are good for his teeth and last pretty long...not gone in a couple of bites. Will get them again, also a good price! A value price thru Amazon, as always. :)"
163368,B000CQID1A,A28UINBMQPCKDV,doc,0,0,5,1343865600,great,great product will buy them again.my little dog loves theses i do to cheaper than buying at the store.great deal.
276372,B0018Q2N3C,A2TUJI1HX80SVC,Edward King,0,0,5,1301443200,Great product -- Wrong Price,"I'm a diabetic that has been using Dreamfields for a couple of years now.  Great product.  Love it and buy it weekly but at the prices listed, I would only be able to buy one box a month.  Sure glad the local supermarket sells it for $1.99."
411050,B0050X8EK0,A3JN0FHDFURCDL,pipperjo,0,0,5,1337212800,"Sylt Lingon, Lingonberry Preserves,",I LOVE THIS. Also saw this on the Dr. Oz show which is why I bought it. It almost taste like cranberry sauce to me. If you like cranberry sauce you will probably like this also but good on a PB&J sandwich.  So good I can't get enough of it. I've ordered and re-ordered it.
516322,B000H1217M,A2O9N82I49GZ4P,C. Opal,0,0,5,1333324800,Great Product,"Great product at a great price. My dog has many food allergies and sensitivities, so it is great to find such a healthy treat that he loves! They were also a very good price."
424830,B0041CIP3M,A21VGNU5959O85,Laura Terese Henri,0,0,4,1329350400,Curry in a hurry.,"I love curry, in its many different forms and preparations. I love the powdery yellow curry, Red Curry, Green Curry, Massaman Curry...Indian, Thai, Chinese, Malaysian, South African...and in the case of this product...Rendang Curry, which is Indonesian.<br /><br />Rendang is traditionally made with coconut milk, galangal, tumeric, ginger root, lemon grass, garlic, shallot, chilis, and other spices. Making this dish usually takes hours, but with this box you can cut down that time a bit.<br /><br />You brown your meat, whether its lamb or beef, pour in the curry mixture (which I added coconut milk to instead of water like other reviewers) then cook for another 15 to 20 minutes and let it get all married together and smelling magnificent. And although this is an Indonesian dish I paired it with Jasmine rice to bring out more flavors and add another aromatic layer. I also recommend serving with some cold sides like chopped tomato, cucumber, carrot, and red onion."
195424,B002I39NYQ,A1HAW3196D85ID,sue,0,0,5,1293840000,sonoma jacks garlic & herb,We recieved a gift basket for the holidays......I was sceptical about its contents..well i was blown away with its items.....they all were exceptionally good... Especially..... the sonoma jacks  garlic & herb cheese spread..........EXCELLENT!!!!!!
109672,B0030VJ97Q,A3FIV3X7H4VLI7,mandm,0,0,3,1310601600,Not as good,"My daughter did not like this flavor, she will eat it with a little bit of vegetable or fruit puree every other bite.  It is a bit of a struggle, and honestly it is a strong fishy smell coming out of the package.  This is also a chunkier and drier pouch compared to the other flavors."
407944,B008UD1W6K,A2XQWXRSJ0Q04I,G,1,1,5,1304726400,Don't Ever Stop Making These!!!,The best taste and I don't have to feel guilty.  Only 35 calories and fat free!!  I can't live without my fat free cappuccino.  It tastes just like the other version only without the guilt!!!  I love it!
409830,B004LKY7NG,A1KY25HG3D9NWB,"Donald W. Cook Sr. ""PghDrake""",0,0,5,1324425600,Very good tasting candy,"I have these, along with the cherry and lemon versions, in a candy dish on my desk at work.  I've had to buy a pound of each type twice now in the last 2 months because they go fast, everyone seems to like them very much (I do too!!)."
404363,B000LKZEO6,A3H7DJ8TDWZTIC,"Julie Holy ""bookie  book""",1,3,1,1320796800,not very good at all,I was very disappointed with this dairy free mac and cheese -- I did it like I would make other mac and cheese  -- I always melt the butter and add the mix - then the milk  --  ( I tried both soy and regular-- )  mix them in sauce pan  -- I was upset because first of price and then it tasted terrible --  I have done other mac and cheese mixes and there is something wrong with calling them mac and cheese --  They are elbows and whatever the sauce is -- It tastes like card board-- I have used lots of different soy cheeses - and other non dairy mixes -- this is awful  --  I wouldn't waste your money on it  --
219293,B00099XO14,A1Z54EM24Y40LL,c2,1,1,2,1338940800,SUPER salty!,"These have really increased in salt over the years - I've been using them occasionally for about 20 years now and after buying them for a quick dinner, that certainly won't be happening again!  The salt, UGH!  May as well go to the ocean and swallow a mouthful, or even the Dead Sea.  I don't normally buy prepackaged items like this because of all the preservatives, but this one is quite ridiculous.  It would really be nice if someone could invent a prepackaged item like this without all the salt and whatever else you don't recognize on the label!  It's just SO unhealthy for kids and adults, especially those with high blood pressure.  PLEASE, we're busy moms.  SOMEONE invent something that's quick, easy, and HEALTHY!  Can't recommend this one - I was asked to not buy them again from a family of hungry boys.  You know, that says about everything!"
361880,B006N3HZ6K,A67YO0RRC61AM,ECS66,0,0,5,1323302400,"Great coffee, but may cancel subscription","We've been receiving Jet Fuel via Amazon's ""Subscribe And Save"" program for about a year.  The coffee is dark and strong, as we like it.  Subscribe And Save is a great convenience.  However, with coffee prices creeping up as they are, we are re-thinking the whole single-serve coffee thing.  May put away our Keurig brewer and haul out the ol' drip maker from the back of the cabinet.  The taste of the coffee rates five stars.  If factoring in the price, it would be fewer stars."
114136,B004FELBH8,A36K2N527TXXJN,Dr. Bojan Tunguz,1,1,5,1304121600,Tasty Little Snack,"<a href=""http://www.amazon.com/gp/product/B000F9XBIE"">Fig Newtons</a> are some of my favorite cookies. I like them because of the nice balance between the fruity filling and the chewy cookie. When I ordered these thins I expected them to be similar in flavor to the other Newtons that I was familiar with, but they turned out to be an entirely different type of sweets. They are very similar to the other kinds of thins. The fig flavor is noticeable, but it's not overwhelming. I haven't been able to discern the honeyr aroma, other than in terms of the general sweetness. I actually like these thins a lot, and I have to restrain myself from eating too many at a time. They make a great accompaniment for tea or coffee. Overall, these are very tasty thins."
271989,B004VLVQZC,A3BDO5NTTNDG7A,Tightwad,0,0,1,1347840000,Worm!,"My Spicy World Brown Sesame Seeds arrived with a living worm crawling around inside the package.  Read the reviews for other Spicy World Sesame seeds and you will discover, as I did, that worms in their sesame seeds is a common problem.  I was very disappointed.  Amazon issued a refund.<br /><br />Also, there is no way to tell how old this product is.  A representative of Spicy World said they are not required to print an expiration date on this product because they package it as a spice.<br /><br />I have videos of the worm to upload, but I don't agree with Amazon's terms.  ""3) License Grant for Materials. You hereby grant to Amazon and its Affiliates a worldwide, nonexclusive, royalty-free, perpetual right and license to (a) reproduce, distribute, transmit, publicly perform and publicly display the Materials, in whole or in part, in any manner and Media, (b) modify, adapt, translate and create derivative works from the Materials, in whole or in part, in any manner and Media, and (c) sublicense the foregoing rights, in whole or in part, to any third party, with or without a fee."""
302765,B000ZH04L8,A1NPHWZRB228G9,"William B. Boyce ""Still Looking""",0,0,4,1342915200,Worth the Money!,"These Bars are great for hiking, packing, and general use.<br />They are a good breakfast substitute or something to fill the belly that is healthy during a busy day.<br /><br />I love these Oat Bars!<br />I've tried most all of them and they are all good."
475003,B0026WL1F8,A1EU1MI5Q0J0WN,"K. Bittner ""Kenswheels""",0,1,5,1232236800,"Great product, sloppy service","The pepperoni is fantastic, as usual.  Amazon was not. While I cancelled the order on my end (it was a duplicate of my son's), they didn't acknowledge it although I got an e-mail confirming the cancellation.  Because it was ""food"" there are no returns.  Looks like 2 bags every 3 months instead of one."
238400,B0009X1P7A,A18KMOFIUPFJL8,Sportschick,0,0,1,1332115200,AWFUL,"First off, this thing was HUGE.  It would be good for a Great Dane, but that is about it.  I was able to actually cut a small piece off (which took about 20 minutes to hack through the softest part), but my dog was able to chew through it and it came apart in chunks.  It was too dangerous for her to even eat, I was afraid she would choke on it, she is a small Yorkie.<br /><br />The other thing is the ear STUNK.  Whatever smoke stuff they put on it, got everywhere.  I guess if you have a really large dog and give it to them outside, this would be a good product.  But it just didn't work for me."
172243,B002EDEMLY,AG31I44WVS415,Eric Hawkins,3,13,1,1299196800,"Absolutely Aweful! TERRIBLE I SAY, TERRIBLE!","YUK! These things taste Horrible. I thought ""Twizzlers"" were Bad but ""Red Vines"" are much worse. They tasted like some kind of chemical or perhaps preservatives. AVOID AT ALL COSTS!!!"
